index,date,open,high,low,close,volume
0,"2013/02/13, 17:00:00",0.0,0.0,0.0,0.0,0.0
1,"2013/02/17, 17:00:00",0.0,0.0,0.0,0.0,0.0
2,"2013/02/19, 17:00:00",0.0,0.0,0.0,0.0,0.0
3,"2013/02/20, 17:00:00",0.0,0.0,0.0,0.0,0.0
4,"2013/02/24, 17:00:00",0.0,0.0,0.0,0.0,0.0
5,"2013/02/25, 17:00:00",0.0,0.0,0.0,0.0,0.0
6,"2013/02/27, 17:00:00",99.34,99.34,99.34,99.34,0.0
7,"2013/02/28, 17:00:00",99.35,99.35,99.35,99.35,0.0
8,"2013/03/03, 17:00:00",99.335,99.335,99.335,99.335,0.0
9,"2013/03/04, 17:00:00",99.305,99.305,99.305,99.305,0.0
10,"2013/03/05, 17:00:00",99.275,99.275,99.275,99.275,0.0
11,"2013/03/06, 17:00:00",99.22,99.22,99.22,99.22,0.0
12,"2013/03/07, 17:00:00",99.175,99.175,99.175,99.175,0.0
13,"2013/03/10, 17:00:00",99.165,99.165,99.165,99.165,0.0
14,"2013/03/11, 17:00:00",99.195,99.195,99.195,99.195,0.0
15,"2013/03/12, 17:00:00",99.19,99.19,99.19,99.19,0.0
16,"2013/03/13, 17:00:00",99.185,99.185,99.185,99.185,0.0
17,"2013/03/14, 17:00:00",99.24,99.24,99.24,99.24,0.0
18,"2013/03/17, 17:00:00",99.26,99.26,99.26,99.26,3.0
19,"2013/03/18, 17:00:00",99.325,99.325,99.31,99.31,3.0
20,"2013/03/19, 17:00:00",99.3,99.3,99.3,99.3,3.0
21,"2013/03/20, 17:00:00",99.295,99.295,99.295,99.295,3.0
22,"2013/03/21, 17:00:00",99.29,99.29,99.29,99.29,3.0
23,"2013/03/24, 17:00:00",99.29,99.29,99.29,99.29,3.0
24,"2013/03/25, 17:00:00",99.295,99.295,99.295,99.295,3.0
25,"2013/03/26, 17:00:00",99.345,99.345,99.345,99.345,3.0
26,"2013/03/27, 17:00:00",99.34,99.34,99.34,99.34,3.0
27,"2013/03/31, 17:00:00",99.35,99.35,99.35,99.35,3.0
28,"2013/04/01, 17:00:00",99.34,99.34,99.34,99.34,3.0
29,"2013/04/02, 17:00:00",99.375,99.375,99.375,99.375,3.0
30,"2013/04/03, 17:00:00",99.37,99.405,99.37,99.405,9.0
31,"2013/04/04, 17:00:00",99.4,99.435,99.4,99.425,6.0
32,"2013/04/07, 17:00:00",99.42,99.42,99.42,99.42,6.0
33,"2013/04/08, 17:00:00",99.41,99.415,99.41,99.415,2.0
34,"2013/04/09, 17:00:00",99.38,99.38,99.38,99.38,2.0
35,"2013/04/10, 17:00:00",99.39,99.39,99.39,99.39,2.0
36,"2013/04/11, 17:00:00",99.39,99.39,99.39,99.39,2.0
37,"2013/04/14, 17:00:00",99.445,99.445,99.445,99.445,2.0
38,"2013/04/15, 17:00:00",99.435,99.435,99.435,99.435,2.0
39,"2013/04/16, 17:00:00",99.44,99.44,99.44,99.44,2.0
40,"2013/04/17, 17:00:00",99.44,99.44,99.44,99.44,2.0
41,"2013/04/18, 17:00:00",99.42,99.42,99.42,99.42,2.0
42,"2013/04/21, 17:00:00",99.43,99.43,99.43,99.43,2.0
43,"2013/04/22, 17:00:00",99.435,99.435,99.435,99.435,2.0
44,"2013/04/23, 17:00:00",99.44,99.44,99.44,99.44,2.0
45,"2013/04/24, 17:00:00",99.44,99.44,99.44,99.44,2.0
46,"2013/04/25, 17:00:00",99.46,99.46,99.46,99.46,2.0
47,"2013/04/28, 17:00:00",99.465,99.465,99.465,99.465,2.0
48,"2013/04/29, 17:00:00",99.485,99.485,99.47,99.47,2.0
49,"2013/04/30, 17:00:00",99.485,99.49,99.485,99.49,3.0
50,"2013/05/01, 17:00:00",99.51,99.51,99.51,99.51,3.0
51,"2013/05/02, 17:00:00",99.495,99.495,99.495,99.495,3.0
52,"2013/05/05, 17:00:00",99.43,99.43,99.42,99.42,2.0
53,"2013/05/06, 17:00:00",99.405,99.405,99.405,99.405,2.0
54,"2013/05/07, 17:00:00",99.41,99.41,99.41,99.41,2.0
55,"2013/05/08, 17:00:00",99.395,99.395,99.395,99.395,2.0
56,"2013/05/09, 17:00:00",99.335,99.36,99.335,99.34,7.0
57,"2013/05/12, 17:00:00",99.32,99.32,99.315,99.315,3.0
58,"2013/05/13, 17:00:00",99.3,99.3,99.3,99.3,3.0
59,"2013/05/14, 17:00:00",99.31,99.31,99.31,99.31,3.0
60,"2013/05/15, 17:00:00",99.36,99.375,99.36,99.375,5.0
61,"2013/05/16, 17:00:00",99.34,99.34,99.34,99.34,5.0
62,"2013/05/19, 17:00:00",99.31,99.32,99.31,99.32,1.0
63,"2013/05/20, 17:00:00",99.32,99.32,99.32,99.32,1.0
64,"2013/05/21, 17:00:00",99.35,99.35,99.265,99.27,6.0
65,"2013/05/22, 17:00:00",99.265,99.265,99.265,99.265,6.0
66,"2013/05/23, 17:00:00",99.255,99.255,99.255,99.255,6.0
67,"2013/05/26, 17:00:00",99.19,99.19,99.08,99.105,30.0
68,"2013/05/28, 17:00:00",99.08,99.08,99.08,99.08,30.0
69,"2013/05/29, 17:00:00",99.09,99.09,99.09,99.09,30.0
