index,date,open,high,low,close,volume
0,"2015/09/29, 17:00:00",98.535,98.535,98.535,98.535,0.0
1,"2015/09/30, 17:00:00",98.53,98.53,98.53,98.53,0.0
2,"2015/10/01, 17:00:00",98.625,98.625,98.625,98.625,0.0
3,"2015/10/04, 17:00:00",98.565,98.565,98.565,98.565,0.0
4,"2015/10/05, 17:00:00",98.57,98.57,98.57,98.57,0.0
5,"2015/10/06, 17:00:00",98.54,98.54,98.54,98.54,0.0
6,"2015/10/07, 17:00:00",98.505,98.505,98.505,98.505,0.0
7,"2015/10/08, 17:00:00",98.485,98.485,98.485,98.485,0.0
8,"2015/10/11, 17:00:00",98.485,98.485,98.485,98.485,0.0
9,"2015/10/12, 17:00:00",98.56,98.56,98.56,98.56,0.0
10,"2015/10/13, 17:00:00",98.685,98.685,98.685,98.685,0.0
11,"2015/10/14, 17:00:00",98.63,98.63,98.63,98.63,0.0
12,"2015/10/15, 17:00:00",98.605,98.605,98.605,98.605,0.0
13,"2015/10/18, 17:00:00",98.605,98.605,98.605,98.605,0.0
14,"2015/10/19, 17:00:00",98.56,98.56,98.56,98.56,0.0
15,"2015/10/20, 17:00:00",98.58,98.58,98.58,98.58,0.0
16,"2015/10/21, 17:00:00",98.615,98.615,98.615,98.615,0.0
17,"2015/10/22, 17:00:00",98.56,98.56,98.56,98.56,0.0
18,"2015/10/25, 17:00:00",98.57,98.57,98.57,98.57,0.0
19,"2015/10/26, 17:00:00",98.62,98.62,98.62,98.62,0.0
20,"2015/10/27, 17:00:00",98.52,98.52,98.52,98.52,0.0
21,"2015/10/28, 17:00:00",98.445,98.445,98.445,98.445,0.0
22,"2015/10/29, 17:00:00",98.44,98.44,98.44,98.44,0.0
23,"2015/11/01, 17:00:00",98.415,98.415,98.415,98.415,0.0
24,"2015/11/02, 17:00:00",98.405,98.405,98.405,98.405,0.0
25,"2015/11/03, 17:00:00",98.365,98.365,98.365,98.365,0.0
26,"2015/11/04, 17:00:00",98.375,98.375,98.375,98.375,0.0
27,"2015/11/05, 17:00:00",98.245,98.245,98.245,98.245,0.0
28,"2015/11/08, 17:00:00",98.22,98.22,98.22,98.22,0.0
29,"2015/11/09, 17:00:00",98.245,98.245,98.245,98.245,0.0
30,"2015/11/10, 17:00:00",98.215,98.215,98.215,98.215,0.0
31,"2015/11/11, 17:00:00",98.23,98.23,98.23,98.23,0.0
32,"2015/11/12, 17:00:00",98.3,98.3,98.3,98.3,0.0
33,"2015/11/15, 17:00:00",98.315,98.315,98.315,98.315,0.0
34,"2015/11/16, 17:00:00",98.32,98.32,98.32,98.32,0.0
35,"2015/11/17, 17:00:00",98.32,98.32,98.32,98.32,0.0
36,"2015/11/18, 17:00:00",98.355,98.355,98.355,98.355,0.0
